Generation,Average,Maximum
0,334,2510
1,1032,5860
2,1221,2490
3,1083,2500
4,1424,2670
5,993,2710
6,1454,6120
7,1891,2740
8,1594,2660
9,1590,2650
10,1716,2710
11,1872,5450
12,1731,4970
13,1653,5500
14,1437,2550
15,1680,2520
16,1775,2840
17,1958,6100
18,1760,2780
19,4402,75950
20,1788,5190
21,2105,2670
22,1735,2740
23,1782,2460
24,1811,2470
25,1899,6380
26,1746,2620
27,1963,2680
28,2052,2570
29,2002,2740
30,1914,2750
31,1944,2690
32,1910,2750
33,2041,5380
34,1629,2780
35,2253,6160
